languageCode,pattern
af,^[a-zA-Z\s\u00C0-\u00FF]*$
al,^[a-zA-Z\s]*$
ar,^[ء-ي\s]*$
az,^[a-zA-ZçəöğüşıÇƏÖĞÜŞİ\s]*$
bg,^[а-яА-Я\s]*$
ca,^[a-zA-ZÀ-ÿ\s]+$
cz,^[a-zA-ZáčďéěíňóřšťúůýžÁČĎÉĚÍŇÓŘŠŤÚŮÝŽ\s]*$
da,^[a-zA-ZæøåÆØÅ\s]*$
de,^[a-zA-ZÄÖÜäöüß\s-]*$
el,^[α-ωάέήίόύώϊΐϋΰ\s]*$
en,^[a-zA-Z\s]*$
eu,^[a-zA-ZÀ-ÿ\s-]*$
fa,[\u0600-\u06FF]
fi,^[a-zA-ZÄÖäöåÅ\s-]*$
fr,^[a-zA-Zàâçéèêëîïôûùüÿæœ\s]*$
gl,^[a-zA-Z\s]*$
he,^[א-ת\s]*$
hi,^[ऀ-ॿ\s]*$
hr,^[a-zA-Z\sčćđžšŠĐŽČĆ]*$
hu,^[a-zA-Záéíóöőúüű\s]*$
id,^[a-zA-Z\s-]*$
it,^[a-zA-Zàèéìíîòóùú\s]*$
ja,^[ぁ-んァ-ヶー一-龠々〆ヵヶ\s]*$
kr,^[ㄱ-ㅎㅏ-ㅣ가-힣\s]*$
la,^[a-zA-Zāčēģīķļņšūž\s]*$
lt,^[a-zA-Ząčęėįšųūž\s]*$
mk,^[а-џ\s]*$
no,^[a-zA-Z\s]*$
nl,^[a-zA-Z\s]*$
pl,^[a-zA-Ząćęłńóśźż\s]*$
pt,[A-Za-zÀ-ú]+
pt_br,[\u00C0-\u00FF]
ro,^[a-zA-ZăâîșțĂÂÎȘȚ\s]*$
ru,^[а-яА-Я\s]*$
sv,^[a-zA-ZåäöÅÄÖ\s]*$
sk,^[a-zA-Záäčďéíĺľňóôŕšťúýž\s]*$
sl,^[a-zA-Zčšž\s]*$
sp,^[a-zA-Z\s]*$
sr,^[а-џ\s]*$
th,^[ก-๙\s]*$
tr,^[a-zA-Zçğıöşü\s]*$
ua,^[а-щьюяіїєґ\s]*$
vi,^[a-zA-Zàảãạáăằẵặắâầẫậấđèẻẽẹéêềễệếìỉĩịíòỏõọóôồỗộốơờỡợớùủũụúưừữựứỳỷỹỵý\s]*$
zh_cn,^[\u4e00-\u9fa5，]*$
zh_tw,^[\u4e00-\u9fff，]*$
zu,^[a-zA-Z\s]*$
